"","CELG.Open","CELG.High","CELG.Low","CELG.Close","CELG.Volume"
"2016-03-31",99.11,100.93,98.65,100.09,4038488
"2016-04-07",108.2,109.76,106.61,107.11,6161328
"2016-04-14",107.82,107.94,106.07,106.99,3173281
"2016-04-21",106.51,110.07,106.31,109.92,3969761
"2016-04-28",105.08,110.2,103.36,108.03,8598507
"2016-05-05",100.82,101.83,99.98,101.71,3406278
"2016-05-12",100.89,100.99,99.24,100.3,3973576
"2016-05-19",100.3,100.92,99.03,99.94,3632991
"2016-05-26",104.8,107.4,104.24,105.78,4781069
"2016-06-02",106.02,108.24,105.88,108.24,4032416
"2016-06-09",106.07,107.74,105.75,106.13,3436392
"2016-06-16",99.53,100.47,98.73,100.23,3164470
"2016-06-23",100.26,100.76,99.25,100.66,3831469
"2016-06-30",98.81,98.99,97.19,98.63,4843295
"2016-07-07",104.3,104.95,103.05,104.41,4136820
"2016-07-14",102.95,103.14,100.86,101.42,5392013
"2016-07-21",105.6,107.48,105.46,107.45,5231573
"2016-07-28",109.91,112.25,109.8,111.26,8339155
"2016-08-04",116.61,117.45,115.54,116.27,7376899
"2016-08-11",112.81,113.94,112.27,113.81,2766176
"2016-08-18",112.47,112.95,111.95,112.13,2158276
"2016-08-25",110.77,111,106.65,107.91,5627823
"2016-09-01",107.04,107.3,105.38,106.37,3487171
"2016-09-08",106.5,107.89,106.29,107.65,2819391
"2016-09-15",106.13,107.71,105.44,107.35,3487408
