"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume"
"2016-06-02",97.09,97.49,96.65,97.18,532148
"2016-06-09",98.77,100.22,98.24,100.1,331072
"2016-06-16",99.62,100.9,99.42,100.47,884587
"2016-06-23",101.52,102.4,100.87,102.4,994737
"2016-06-30",101.37,107.16,101,106.67,2374432
"2016-07-07",106.69,107.39,105.5,105.91,951959
"2016-07-14",104.75,105.64,104.68,104.86,650560
"2016-07-21",104.03,104.03,103.43,103.82,583475
"2016-07-28",101.72,102.12,101.02,101.96,375029
"2016-08-04",100.48,100.9,100.22,100.63,363774
"2016-08-11",101.79,101.9,101.17,101.59,496775
"2016-08-18",101.25,101.7,101.05,101.46,413297
"2016-08-25",101.62,102.47,101.32,101.64,386784
"2016-09-01",101.85,101.85,100.5,101.16,347952
"2016-09-08",100.18,100.44,99.35,99.6,538693
"2016-09-15",96.72,98.14,96.39,98.05,617395
