"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume"
"2015-11-10",145.28,146.14,144.03,145.15,2523258
"2015-11-11",145.2,145.83,144.52,144.99,1585173
"2015-11-12",143,144.4,141.59,142.54,3774561
"2015-11-13",142.33,143.89,141.86,142.59,3049811
"2015-11-16",142.58,144.5,142.33,144.42,2373024
"2015-11-17",145.29,146.59,144.64,146.08,3022517
"2015-11-18",146.24,148.38,146.23,148.28,3090513
"2015-11-19",148.79,149.48,148.26,149.24,2490118
"2015-11-20",149.84,150.58,149.12,149.4,3209165
"2015-11-23",149.39,149.7,147.71,148.34,3182390
"2015-11-24",147.49,149.59,147.22,148.65,2623910
"2015-11-25",149.04,149.15,147.38,147.43,1852242
"2015-11-27",147.5,147.97,146.68,146.95,1282131
"2015-11-30",146.97,147.26,145.36,145.45,3004871
"2015-12-01",146.54,149.4,146.47,147.74,3435237
"2015-12-02",147.55,148.03,146.38,146.96,2644725
"2015-12-03",147.05,147.63,144.28,145.56,3008659
"2015-12-04",146.35,148.78,146.09,148.5,3892856
"2015-12-07",148.3,149.5,147.32,148.45,3417715
"2015-12-08",146.82,147.23,144.65,144.99,5021095
"2015-12-09",144.6,145.69,142.27,144.24,5124573
"2015-12-10",144.62,147.46,144.16,146.41,3278542
"2015-12-11",145,145.7,143.72,144.62,3684667
"2015-12-14",144.5,144.5,141.46,143,4816106
"2015-12-15",145.66,147.1,144.12,146.53,4705329
"2015-12-16",147.98,148.61,146.23,148.11,3316048
"2015-12-17",148.85,149.8,145.5,145.56,3448810
"2015-12-18",144.41,144.41,138.89,139.58,9951965
"2015-12-21",140.21,141.94,139.7,140.9,3746389
"2015-12-22",141.72,142.79,140.5,142.38,2791715
"2015-12-23",143.08,144.07,142.81,144.06,3353868
"2015-12-24",143.6,143.93,143.36,143.53,1184981
"2015-12-28",143.26,144.67,142.84,144.54,1980017
"2015-12-29",145.06,147.56,145,147.35,3133578
"2015-12-30",147.22,148,146.01,146.41,1618958
"2015-12-31",145.96,145.96,144.5,144.59,2105228
"2016-01-04",141.38,141.7,139.43,140.5,5706607
"2016-01-05",140.99,141.7,139.77,141.07,3356951
"2016-01-06",138.83,139.35,137.26,138.83,4254056
"2016-01-07",136.38,136.67,132.51,133.01,7013671
"2016-01-08",133.7,135.1,129.8,129.99,5776933
"2016-01-11",130.85,131,128.92,130.21,5551464
"2016-01-12",131.58,132.17,129.64,131.92,4171513
