"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume"
"2016-06-14",43.84,44.6,43.35,44.32,7324500
"2016-06-15",43.91,44.51,43.41,43.71,6898000
"2016-06-16",43.2,43.32,42.22,43.16,7010126
"2016-06-17",43.6,44.74,43.51,44.15,9672799
"2016-06-20",45,45.36,44.57,44.69,8374562
"2016-06-21",44.58,45.08,44.25,44.8,6783276
"2016-06-22",45.12,45.18,43.91,43.99,8649071
"2016-06-23",44.6,45.64,44.27,45.63,7714822
"2016-06-24",43.32,44.42,42.92,43.17,13630206
"2016-06-27",42.51,42.66,40.52,40.78,11996399
"2016-06-28",41.97,42.14,41.44,41.95,8996451
"2016-06-29",42.5,44.22,42.19,43.91,10234872
"2016-06-30",43.72,44.12,43.21,43.6,9342248
"2016-07-01",43.85,44.42,43.5,43.51,9611801
"2016-07-05",42.72,42.77,41.36,41.7,10189552
"2016-07-06",41.55,42.03,41.17,41.9,7023872
"2016-07-07",42.3,42.79,41.19,41.51,8827922
"2016-07-08",42.35,42.43,41.62,42.3,10801923
"2016-07-11",42.74,42.96,42.4,42.45,6345709
"2016-07-12",43.16,44.29,43.11,43.8,10303091
"2016-07-13",43.8,44.05,42.11,42.87,9203715
"2016-07-14",43.51,43.52,42.68,43.02,6580794
"2016-07-15",43.27,43.48,42.68,42.94,5898379
"2016-07-18",42.73,42.94,42.21,42.71,5261545
"2016-07-19",42.45,42.65,41.7,41.91,7262281
"2016-07-20",41.72,42.33,41.28,42.03,6695857
"2016-07-21",41.8,42.21,40.88,41.04,8795754
"2016-07-22",41.11,41.29,40.62,40.76,7306131
"2016-07-25",40.43,40.67,39.81,40.24,7482371
"2016-07-26",40.05,40.86,39.95,40.79,5896046
"2016-07-27",40.94,41.44,40,40.07,10159352
"2016-07-28",40.25,40.77,39.67,40.26,11526718
"2016-07-29",39.77,40.9,39.67,40.82,8138922
"2016-08-01",40.41,40.42,39.42,39.61,9592337
"2016-08-02",39.81,40.05,38.8,39.79,7145765
"2016-08-03",39.82,40.34,39.5,40.31,8586744
"2016-08-04",40.17,40.46,39.66,40.1,6914852
"2016-08-05",40.29,40.64,39.92,40.6,8736148
"2016-08-08",40.98,41.8,40.91,41.56,9679509
"2016-08-09",41.74,41.93,41.04,41.24,7076556
"2016-08-10",41.45,41.54,40.5,40.6,6375496
"2016-08-11",40.79,41.71,40.32,41.39,8784833
"2016-08-12",41.55,41.65,41.18,41.37,4948770
"2016-08-15",41.66,42.24,41.57,42.18,5896176
"2016-08-16",42.18,43.06,41.76,42.86,10973843
"2016-08-17",42.69,43.25,42.4,43.2,8857666
"2016-08-18",43.34,43.69,43.14,43.59,6991456
"2016-08-19",43.28,43.48,43.02,43.32,6190137
"2016-08-22",42.74,42.93,42.31,42.63,6179550
"2016-08-23",42.6,43.33,42.46,43.22,6179717
"2016-08-24",42.96,43.37,42.85,42.96,5511431
"2016-08-25",42.9,43.03,42.42,42.78,4504949
"2016-08-26",42.9,43.29,42.14,42.3,5654584
"2016-08-29",42.18,42.47,42.02,42.35,4460996
"2016-08-30",42.59,42.87,42.1,42.23,5425830
