"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume"
"2016-04-14",103.96,104.16,103.46,103.91,899245
"2016-04-21",102.19,102.46,100.47,100.47,1179553
"2016-04-28",102.04,103.62,102.04,103.09,916379
"2016-05-05",104.95,106.07,104.2,105.44,1817604
"2016-05-12",105.38,105.97,104.84,105.37,985090
"2016-05-19",101.79,103.14,101.17,102.98,1276120
"2016-05-26",104.29,105.13,104.26,104.77,916673
"2016-06-02",106.41,106.98,106.16,106.73,1180386
"2016-06-09",109.44,110.27,109,110,770572
"2016-06-16",109.11,109.57,108.56,109.39,964414
"2016-06-23",110.02,111.08,109.61,111.08,911533
"2016-06-30",111.77,114.03,111.61,114.02,1729799
"2016-07-07",114.19,114.5,112.76,113.06,1064727
"2016-07-14",113.59,113.59,111.8,113.05,1288019
"2016-07-21",111.72,113.2,111.32,113.06,1175349
"2016-07-28",111,111.65,110.38,111.38,741247
"2016-08-04",110.39,111.36,109.45,110.29,1057251
"2016-08-11",106.86,107.06,106.41,106.99,813404
"2016-08-18",105.95,108.48,105.95,108.46,1452481
"2016-08-25",106.75,107.16,106.28,106.51,778362
"2016-09-01",104.7,104.87,103.38,103.7,845992
"2016-09-08",105.55,107.32,105.55,107.06,1329676
"2016-09-15",104.03,105.56,103.66,105.2,1695666
