"","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume"
"2015-09-21",103.68,103.83,102.46,103.41,7134986
"2015-09-22",102.18,102.75,101.48,102.49,8308140
"2015-09-23",102.44,102.63,101.38,101.57,5807207
"2015-09-24",101,101.33,99.24,100.62,10654979
"2015-09-25",101.51,101.8,99.58,100.3,7169858
"2015-09-28",99.9,100.39,98.3,98.49,8209139
"2015-09-29",98.51,100.06,97.77,99.42,9434095
"2015-09-30",100.78,102.43,100.5,102.2,9144752
"2015-10-01",102.97,103.47,101.08,102.67,7497143
"2015-10-02",101.21,103.01,99.88,103,9079312
"2015-10-05",103.7,104.2,102.61,103.85,7115800
"2015-10-06",104.19,104.51,103.21,103.77,5615784
"2015-10-07",104.49,104.59,102.66,103.39,6949532
"2015-10-08",103.2,104.89,102.7,104.61,7486472
"2015-10-09",105.09,106.05,104.67,105.56,7312564
"2015-10-12",105.91,106.7,105.62,106.35,5149028
"2015-10-13",105.74,107.39,105.31,106.59,8310319
"2015-10-14",106.5,106.85,105.23,105.73,5468163
"2015-10-15",106.5,108,106.26,107.89,6699237
"2015-10-16",108.27,108.5,107.46,108.24,5739695
"2015-10-19",108.25,109.97,107.94,109.47,7975423
"2015-10-20",109.55,110.53,109.41,109.84,9655995
"2015-10-21",110.67,111.56,110.01,110.09,8770087
"2015-10-22",110.67,113.35,110.39,113.25,9924461
"2015-10-23",114.21,114.21,111.85,113.09,7921750
"2015-10-26",113.07,113.58,112.12,113.52,5723571
"2015-10-27",113.29,114.27,113.24,113.77,5855034
"2015-10-28",113.97,114.46,112.86,114.34,6443616
"2015-10-29",114.34,115.4,114.2,115.04,6075573
"2015-10-30",115,115.24,113.67,113.74,8475593
"2015-11-02",114.49,115.31,114.01,115.04,6937687
"2015-11-03",114.97,116.4,114.54,115.54,7080754
"2015-11-04",116.64,116.83,110.81,113.25,20697835
"2015-11-05",113.26,113.93,111.6,113,13622350
"2015-11-06",114.6,116.75,114.57,115.67,16695729
"2015-11-09",115.9,116.73,115.18,116.42,9298464
"2015-11-10",116.17,117.51,115.51,117.42,8130179
"2015-11-11",117.55,117.58,116.43,116.52,6363766
"2015-11-12",115.6,116.99,115,116.21,7106904
"2015-11-13",115.92,116.42,114.38,114.84,7885431
"2015-11-16",113.47,116.08,113.34,115.92,5751991
"2015-11-17",116.11,117.55,115.51,116.13,6427700
"2015-11-18",116.22,118.28,116.05,118.14,6545023
"2015-11-19",118.15,119.16,117.64,118.71,6100132
"2015-11-20",119.11,120.25,118.9,120.07,9943115
"2015-11-23",120.3,120.65,119,119.42,6985099
"2015-11-24",117.9,118.57,117.28,117.95,8100965
"2015-11-25",118.29,119.34,118.15,118.67,4751518
"2015-11-27",116,116.5,113.7,115.13,14911395
"2015-11-30",115.56,115.58,113.31,113.47,16239010
"2015-12-01",114.15,115.46,113.66,115.39,8892542
"2015-12-02",115.39,115.47,113.83,114,7783301
"2015-12-03",114.17,114.65,111.44,111.89,10446637
"2015-12-04",112.74,114.3,112.53,114.24,8771297
"2015-12-07",114.56,114.56,112.65,113.83,6610165
"2015-12-08",113.35,113.45,112.4,112.48,7480562
"2015-12-09",112.39,113.06,110.58,111.47,9050676
"2015-12-10",111.15,111.58,110.17,110.76,7030152
"2015-12-11",109.91,109.95,107.62,108.04,12334945
"2015-12-14",108.68,109.87,108.28,109.35,9639492
"2015-12-15",112.05,113.34,111.58,112.16,13361688
"2015-12-16",114.69,114.75,111.8,113.79,12304503
"2015-12-17",114.13,114.48,111.98,112.01,9375035
"2015-12-18",112.01,112.44,107.35,107.72,28376912
"2015-12-21",108.8,110.1,105.33,106.59,22847155
"2015-12-22",106.99,107.2,105.83,106.74,8644464
"2015-12-23",107.21,107.24,104.3,105.56,12372933
"2015-12-24",105.2,106.64,105.06,105.86,4356193
"2015-12-28",106.5,108.2,106.33,107.25,9092705
"2015-12-29",107.88,108.04,106.45,107.08,8607249
"2015-12-30",106.89,107.21,106.25,106.34,4916975
"2015-12-31",106.14,106.31,105.06,105.08,6670101
"2016-01-04",103.12,103.43,101.73,102.98,12470536
"2016-01-05",102.67,102.67,99.89,100.9,16212908
"2016-01-06",99.38,101.46,99.36,100.36,13934454
"2016-01-07",98.96,101.35,98.52,99.5,14680220
"2016-01-08",100.63,100.92,99,99.25,10691594
"2016-01-11",100.21,100.45,98.55,99.92,9583209
"2016-01-12",100.97,101.85,100.34,101.46,8863921
"2016-01-13",101.88,101.88,98.12,98.48,11473032
"2016-01-14",98.65,99.91,97.19,99.11,11086312
"2016-01-15",95.62,96.88,93.46,93.9,22212626
"2016-01-19",95,95.07,93.03,93.97,13211368
"2016-01-20",92.18,93.64,90.42,92.54,16894553
"2016-01-21",92.87,94.86,92.56,94.02,12054406
"2016-01-22",95.95,97.42,95.55,96.9,12259269
"2016-01-25",96.42,96.68,95.12,95.29,7768858
"2016-01-26",95.49,96.43,95.09,96.27,6895218
"2016-01-27",96.31,96.63,93.87,94.32,6292395
"2016-01-28",95.2,95.2,92.37,93.53,7276624
"2016-01-29",94.21,95.82,93.63,95.82,8112503
"2016-02-01",95.08,95.71,94.7,95.15,6996044
"2016-02-02",94,94.17,92.87,93.12,7215710
"2016-02-03",94.1,95.41,92.42,95.14,10862339
"2016-02-04",94.87,96.73,94.6,95.43,8284239
"2016-02-05",95.32,95.39,93.47,93.9,8857209
"2016-02-08",92.56,92.96,89.51,92.12,13659468
"2016-02-09",90.15,93.2,89.04,92.32,16091333
"2016-02-10",88,90.03,86.25,88.85,32574769
"2016-02-11",87,91.06,86.96,90.31,17368241
"2016-02-12",91.52,91.59,89.61,91.15,10755898
"2016-02-16",92.47,93.31,91.79,92.91,8980322
"2016-02-17",93.67,96.44,93.56,95.5,12575106
"2016-02-18",96.34,96.45,94.45,95.17,8727628
"2016-02-19",95.23,95.72,94.56,95.01,6677953
"2016-02-22",96.23,97,95.86,96.37,6933000
"2016-02-23",96.5,96.82,95.15,95.38,6195462
"2016-02-24",94.65,95.75,93.23,95.43,6917485
"2016-02-25",95.92,95.95,94.35,95.65,4544901
"2016-02-26",95.71,96.22,95.28,95.31,5263492
"2016-02-29",95.31,96.29,95.23,95.52,6809953
"2016-03-01",95.9,97.66,95.53,97.65,7123980
"2016-03-02",97.67,97.83,96.41,97,6449638
"2016-03-03",97.79,98.84,96.89,98.82,8553853
"2016-03-04",99,99.21,97.9,98.48,6728528
"2016-03-07",98.57,99.71,98.48,99.39,7198348
"2016-03-08",98.93,98.98,97.6,97.82,6168749
"2016-03-09",98,98.24,96.81,97.66,7009199
"2016-03-10",97.94,98.42,95.87,97.04,5439975
