"","D.Open","D.High","D.Low","D.Close","D.Volume"
"2016-04-29",70.6,71.47,70.1,71.47,4504902
"2016-05-02",71.7,72.48,71.5,72.1,3025241
"2016-05-03",71.87,72.3,71.42,71.94,3914268
"2016-05-04",70.41,73.02,70.41,72.78,3189038
"2016-05-05",72.69,73.34,71.64,71.99,2697763
"2016-05-06",72.11,72.22,70.57,71.27,2379898
"2016-05-09",71.41,71.64,71.02,71.48,2059620
"2016-05-10",71.73,71.87,71.38,71.52,1702057
"2016-05-11",71.63,71.86,70.87,71.72,1831494
"2016-05-12",71.64,72.39,71.42,72.28,2509746
"2016-05-13",72.26,72.44,71.62,72.09,1716844
"2016-05-16",72.01,72.35,71.52,72.22,1512868
"2016-05-17",72.04,72.27,70.75,71.08,2309559
"2016-05-18",70.6,71.24,69.31,69.61,3446910
"2016-05-19",69.27,70.9,68.71,70.88,2901717
"2016-05-20",71.15,71.2,70.66,70.98,2155800
"2016-05-23",71.12,71.2,70.09,70.14,2014929
"2016-05-24",70.3,70.93,70.08,70.78,1974177
"2016-05-25",70.62,71.04,70.22,70.94,2054831
"2016-05-26",70.79,71.72,70.75,71.57,1846255
"2016-05-27",71.68,71.78,71.2,71.61,1373079
"2016-05-31",71.62,72.33,71.35,72.25,3876788
"2016-06-01",71.2,71.83,71.1,71.68,1929161
"2016-06-02",71.45,71.68,70.74,71.49,2248989
"2016-06-03",72.17,73.31,72,72.97,3157573
"2016-06-06",72.89,73.22,72.37,72.77,2032640
"2016-06-07",72.74,73.31,72.38,72.5,1911557
"2016-06-08",72.56,73.23,72.41,72.95,1620353
"2016-06-09",72.85,73.85,72.54,73.74,1709026
"2016-06-10",73.73,73.99,73.07,73.35,2357198
"2016-06-13",73.5,73.96,73.3,73.39,3182936
"2016-06-14",73.39,73.88,73.19,73.67,5939597
"2016-06-15",73.69,74.13,73.24,73.68,3277266
"2016-06-16",73.17,74.14,73.01,73.89,3174167
"2016-06-17",73.84,74.4,73.58,74.12,7977950
"2016-06-20",74.47,74.67,73.65,74.36,4934652
"2016-06-21",74.26,74.58,73.8,74.35,2809722
"2016-06-22",74.31,74.44,73.75,73.79,1796113
"2016-06-23",73.8,73.95,73.47,73.95,1412562
"2016-06-24",73.53,74.83,73.38,74.17,4332912
"2016-06-27",73.9,75.1,73.8,74.95,3362698
"2016-06-28",74.77,76.44,74.32,76.44,5903815
"2016-06-29",76.64,76.8,76.02,76.41,2847662
"2016-06-30",76.65,77.93,76.47,77.93,3348224
"2016-07-01",78.06,78.18,77.07,77.86,2212269
"2016-07-05",78,78.52,77.87,78.45,2470164
"2016-07-06",78.45,78.97,78.04,78.92,2949078
"2016-07-07",78.72,78.92,77.25,77.47,2572152
"2016-07-08",77.41,78.2,76.54,78.19,2259191
"2016-07-11",77.69,78.27,77.22,78.15,1831981
"2016-07-12",77.67,78.01,77.23,77.41,2061409
"2016-07-13",77.9,77.98,77.47,77.77,2352368
"2016-07-14",77.3,77.49,76.96,77.14,2250944
"2016-07-15",77.3,77.74,77.14,77.53,1925991
"2016-07-18",77.66,78.06,77.52,77.82,1521548
"2016-07-19",77.78,78.09,77.36,77.83,1495168
"2016-07-20",77.72,77.99,77.23,77.3,1408546
"2016-07-21",76.95,77.66,76.72,77.6,1640653
"2016-07-22",77.61,78.6,77.49,78.51,1580478
"2016-07-25",78.26,78.62,77.99,78.61,1694097
"2016-07-26",78.54,78.62,77.3,77.53,2102142
"2016-07-27",77.48,77.48,76.1,76.52,2878042
"2016-07-28",76.52,77.17,76.25,76.94,2360795
"2016-07-29",76.79,78.22,76.78,78.02,3357560
"2016-08-01",77.73,78.08,77.45,77.58,1771449
"2016-08-02",77.32,77.58,76.63,77.37,2628545
"2016-08-03",77.57,77.93,76.39,76.75,2761939
"2016-08-04",76.75,77.33,76.31,76.42,2221605
"2016-08-05",76.3,76.3,75.24,75.37,2437625
"2016-08-08",75.07,75.65,74.62,74.99,2588713
"2016-08-09",74.69,75.01,74.1,74.73,7438906
"2016-08-10",75.01,75.36,74.72,75.01,5318385
"2016-08-11",75.09,75.56,74.88,75.4,3495052
"2016-08-12",75.78,76.64,75.51,75.96,3452784
"2016-08-15",75.81,76.33,74.98,75,1978651
"2016-08-16",74.89,75.08,74.54,74.68,4912908
"2016-08-17",74.68,76.68,74.32,76.65,4822026
"2016-08-18",76.41,76.86,76.14,76.86,4115968
"2016-08-19",76.49,76.63,75.31,75.8,3134504
"2016-08-22",75.95,76.58,75.71,76.28,2308195
"2016-08-23",76.38,76.78,75.83,75.83,2096191
"2016-08-24",75.6,76.22,75.43,76.12,2155391
"2016-08-25",76.02,76.56,75.9,76.24,2193258
"2016-08-26",76.27,76.89,74.66,74.74,3243742
"2016-08-29",75.09,75.69,75.04,75.69,3758852
"2016-08-30",75.65,76.02,74.84,74.95,2415477
