"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume"
"2015-03-26",91.9,92.22,91.29,91.53,1049713
"2015-04-02",90.22,91.87,90.19,91.12,1043153
"2015-04-09",91.79,93.11,91.61,93.07,1380151
"2015-04-16",92.15,92.39,91.78,92.18,877039
"2015-04-23",96.45,97.42,96.2,97.18,1620228
"2015-04-30",93.6,93.99,91.78,92.24,1923519
"2015-05-07",92.37,93.28,92.37,92.61,801515
"2015-05-14",93.66,95.34,93.34,95.26,1319703
"2015-05-21",96.65,96.84,96.13,96.4,744305
"2015-05-28",96.46,96.94,95.83,96.24,862552
"2015-06-04",95.77,95.97,94.73,95.04,968026
"2015-06-11",96.12,96.85,95.87,96.54,798484
"2015-06-18",95.41,97.33,95.37,97.15,1081593
"2015-06-25",96.89,97.18,96.29,96.45,859998
"2015-07-02",96.25,96.29,95.25,95.76,641291
"2015-07-09",96.75,96.87,95.64,95.66,949314
"2015-07-16",98.29,98.33,97.4,98.17,1110168
"2015-07-23",98.96,98.96,98,98.25,1612813
"2015-07-30",101.82,102.02,101.31,101.84,674129
"2015-08-06",102.97,103.48,101.03,101.32,1159620
"2015-08-13",102.9,103.84,102.21,102.97,1533854
"2015-08-20",103.55,103.92,102.5,102.52,1027020
"2015-08-27",100.1,101.3,99.46,101.08,2282984
"2015-09-03",97.5,97.87,96.39,96.68,1661418
"2015-09-10",97.27,98.89,96.95,98.3,1735395
"2015-09-17",100.59,102.22,100.18,100.56,1670348
"2015-09-24",97.96,98.4,97.4,98.22,1705985
"2015-10-01",94.5,94.97,93.65,94.91,1782708
"2015-10-08",95.82,97.36,95.45,97.35,1301619
"2015-10-15",97.4,98.76,96.53,98.69,1225707
"2015-10-22",100.17,100.19,98.11,98.53,2432820
"2015-10-29",95.4,96.69,95.36,95.85,1120946
"2015-11-05",97.52,97.78,96.68,97.59,1619002
"2015-11-12",96.48,97.06,95.58,95.61,2022354
"2015-11-19",96.81,96.99,95.36,95.41,1515173
"2015-12-03",96.26,96.56,92.43,92.58,2564865
"2015-12-10",92.38,93.62,92.37,92.93,937149
"2015-12-17",93.92,94.26,92.7,92.71,1735512
"2015-12-24",94.07,94.88,94,94.36,466412
"2015-12-31",93.63,93.94,92.92,92.94,912855
"2016-01-07",89.53,90.08,88.01,88.44,2029986
"2016-01-14",89.49,91.52,89.34,90.92,1982768
"2016-01-21",91.43,92.26,90.3,91.89,2072363
